#lambda/nm	DC	C1
568.409	586.6	614.4
568.815	577.8	600
569.22	583.6	596.2
569.626	585.6	612
570.053	576	598.2
570.459	589.2	608.4
570.865	586.6	611.6
571.292	588.2	605.8
571.698	584.8	603.2
572.104	570.6	594.6
572.531	578.2	599.4
572.937	581.8	609.2
573.343	577.2	602.2
573.75	577	590.6
574.177	574.6	607.6
574.583	588.2	608.4
574.99	579.6	598.6
575.396	577.6	601.6
575.824	582.2	591.8
576.231	585	604.4
576.637	570.4	592.8
577.065	594.2	615.6
577.472	568	589.2
577.879	577.6	598.4
578.286	589.6	602.6
578.714	573	592.8
579.121	580	594.8
579.528	581.4	594.4
579.935	589.8	604.4
580.364	578	587.4
580.771	560.2	583.6
581.178	568.8	591.4
581.585	577.2	593.4
582.014	580.4	594
582.421	578.2	587.8
582.829	567.4	586.2
583.236	582.8	596.4
583.644	579	583
584.073	577.4	578.6
584.481	579.2	589.6
584.889	567	584.6
585.296	575.4	595.2
585.726	580.6	589.4
586.134	578.8	577.2
586.542	574.6	587.6
586.95	589.6	602.4
587.358	566.8	587.6
587.787	578	588.4
588.196	573.4	580
588.604	572.2	591.4
589.012	574.4	596.2
589.421	571	582.2
589.851	573.2	578.6
590.259	589.4	582.8
590.668	581.4	579.8
591.076	606.8	616
591.485	565.6	578
591.894	574	582.8
592.324	590.6	591.4
592.733	582	593.6
593.142	563.4	572.4
593.551	580	582.4
593.96	575.2	614.8
594.369	573.8	574
594.8	575.2	569.8
595.209	578.2	585.8
595.618	566.8	569.4
596.028	578.6	577.8
596.437	576	575.2
596.847	584.8	584.8
597.256	586	581.8
597.687	579	583.6
598.097	580.2	580
598.507	569.6	570
598.917	579.2	580.8
599.327	583.2	590.6
599.736	584.8	579.2
600.146	591	592.4
600.556	578.2	578.6
600.988	589	588.8
601.398	575.2	572.4
601.808	588.6	582.6
602.219	570.2	568.6
602.629	575.8	576.8
603.039	584.4	577.4
603.45	595.4	598.2
603.86	581	582.2
604.271	592.4	587
604.703	579.2	572.2
605.114	585.4	572.2
605.525	584.6	577.4
605.935	593	582.6
606.346	596	593.2
606.757	590.6	581.4
607.168	592.4	580.8
607.579	577.8	572.4
607.99	596.2	580.8
608.402	587.6	567
608.813	589.4	584
609.224	588	578
609.636	584.8	570.6
610.047	591.4	570.8
610.48	598.4	575.4
610.892	593.2	588.8
611.303	598	586
611.715	602	587.2
612.127	595.4	575.2
612.539	595	574.4
612.95	602.4	582.6
613.362	603.2	579.4
613.774	606.6	573.8
614.186	605.8	573.8
614.599	604.4	581.8
615.011	621	588.8
615.423	598.2	577.2
615.835	596.8	576.2
616.248	586	582
616.66	603.4	581.6
617.073	594.2	576.4
617.485	589.4	569.8
617.898	601.2	582
618.311	597.8	580.8
618.723	589.8	585.6
619.136	617.8	602.2
619.549	597	592.6
619.962	615.4	599.6
620.375	589.4	574.6
620.788	592.8	584
621.201	582.8	573.8
621.614	591.6	591.8
622.028	594	573
622.441	585.6	578.6
622.854	603.6	598.4
623.268	590.6	567.6
623.681	595.2	586.4
624.095	582.8	583.4
624.509	594.6	594.2
624.922	592.4	587.2
625.336	579.2	569.2
625.728	593.8	581.6
626.142	597	586.8
626.556	606.2	590.4
626.97	600.6	588.4
627.384	593.8	569.6
627.799	607.2	584.2
628.213	619	589.8
628.627	621.8	580.8
629.041	616.2	577.2
629.456	631	592.8
629.87	645	582.4
630.285	655.6	594.4
630.699	655.4	598.2
631.093	653.4	590.6
631.507	655.4	596.2
631.922	651.4	597.4
632.337	655.2	591.6
632.752	627	581.4
633.167	644.6	590
633.582	639	585.2
633.997	644	587.8
634.412	625.8	578
634.806	638.2	583.6
635.221	635	587.4
635.637	639.8	588.6
636.052	622.4	569.4
636.468	631	579.6
636.883	634.8	591.2
637.299	605.4	580.2
637.715	591.4	564
638.109	592.8	574.6
638.525	596.8	570.6
638.941	594.4	591.2
639.357	590.8	570.8
639.773	598	581.2
640.189	587.2	565.8
640.584	586.6	571.4
641	587	564.6
641.416	574	559.6
641.832	583	569
642.249	582.6	568.2
642.665	573.2	571.4
643.06	577.2	580.4
643.477	591.4	584.2
643.894	569.6	562.8
644.31	573.2	565.2
644.727	586.8	570.2
645.123	585.4	570.6
645.54	580.4	574.6
645.957	589.2	584.2
646.374	603	585
646.77	590.2	566.6
647.187	606.4	598.8
647.604	591.2	573
648.021	583	554.4
648.439	577	568
648.835	586.6	576
649.252	585.2	571.8
649.67	572.2	564.8
650.088	578.6	574.6
650.484	587.4	577
650.902	586.4	572
651.32	581	578.8
651.738	570.2	564
652.134	573.6	575.4
652.552	591.8	579
652.971	593.6	574.4
653.389	573.6	572.4
653.786	577.4	580.6
654.204	586.4	589
654.622	568.6	558.2
655.019	574.4	575.6
655.438	585.6	564
655.857	578.6	564.2
656.275	575.6	573.8
656.673	562.8	560.8
657.091	582.6	573.4
657.51	576	560.4
657.908	575	572.8
658.327	586.2	578.8
658.746	558.2	556.6
659.144	575	558.2
659.563	583.4	585.6
659.982	577.2	565.4
660.38	558	560.6
660.8	565.4	564.2
661.219	586.8	572.4
661.617	572.6	572.2
662.037	562.2	566.4
662.457	574.4	585.2
662.855	560.2	558.8
663.275	595.6	598.4
663.695	569.6	572.4
664.094	567.4	565.8
664.514	571	572.6
664.934	564	565.2
665.333	566.2	570.6
665.753	561	562.8
666.152	568.8	563.4
666.572	570.2	562.8
666.993	572.6	575.8
667.392	571.8	565.4
667.812	573	571.8
668.212	574.8	563.8
668.632	573.2	568.8
669.053	573	560.8
669.453	573	570.2
669.874	578.4	563.8
670.273	574.8	573.8
670.694	563.4	559
671.116	575	574.4
671.515	579.8	573.8
671.937	564	564.2
672.337	570.2	561.8
672.758	569.8	565.6
673.158	569.8	572.4
673.58	558.2	562.4
673.98	568.6	567
674.402	579.2	570.2
674.824	566.4	561.6
675.224	568.2	561
675.646	562	557.8
676.047	564	563.8
676.469	565.8	566.8
676.869	570.6	567.8
677.292	575	561.8
677.693	561.2	563.8
678.115	563.8	563
678.516	570.4	569.8
678.939	564.2	573.4
679.34	566.8	568.6
679.762	586.6	571.2
680.164	578.6	570.2
680.586	566.4	562.2
680.988	568.8	569
681.411	588.4	583.4
681.812	566.2	554.2
682.236	563	559.6
682.637	563	557
683.061	559.6	556.4
683.462	574.6	560.8
683.864	564.8	561.8
684.288	572	565
684.69	557.8	563.6
685.114	576.8	570.8
685.516	577.6	572
685.94	559	557.4
686.342	576	564
686.766	568.8	561
687.168	562.6	560.8
687.571	578	578.4
687.995	564.8	569.2
688.398	557.6	550
688.822	561	561
689.225	581.2	572.2
